"FoodId"|"FdGrp_Desc"|"FdGrp_Cd"|"Long_Desc"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"msre"|"Calories"|"Protein"|"Fat"|"Carbohydrates"
"33"|"Beverages"|"1400"|"Alcoholic beverage, wine, cooking"|"1"|"tsp"|"4.9000000000000004"|"1 tsp"|"50"|"0.5"|"0"|"6.2999999999999998"
"34"|"Beverages"|"1400"|"Alcoholic beverage, wine, dessert, dry"|"1"|"fl oz"|"29.5"|"1 fl oz"|"152"|"0.20000000000000001"|"0"|"11.67"
"35"|"Beverages"|"1400"|"Alcoholic beverage, wine, dessert, sweet"|"1"|"fl oz"|"29.5"|"1 fl oz"|"160"|"0.20000000000000001"|"0"|"13.69"
"36"|"Beverages"|"1400"|"Alcoholic beverage, wine, light"|"1"|"fl oz"|"29.5"|"1 fl oz"|"49"|"7.0000000000000007E-2"|"0"|"1.1699999999999999"
"37"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, all"|"1"|"serving (5 fl oz)"|"148"|"1 serving (5 fl oz)"|"83"|"7.0000000000000007E-2"|"0"|"2.7200000000000002"
"38"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, red"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"85"|"7.0000000000000007E-2"|"0"|"2.6099999999999999"
"39"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Barbera"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"85"|"7.0000000000000007E-2"|"0"|"2.79"
"40"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Burgundy"|"1"|"fl oz"|"29.5"|"1 fl oz"|"86"|"7.0000000000000007E-2"|"0"|"3.6899999999999999"
"41"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Cabernet Franc"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"2.4500000000000002"
"42"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"2.6000000000000001"
"43"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Carignane"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"74"|"7.0000000000000007E-2"|"0"|"2.3999999999999999"
"44"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Claret"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"3.0099999999999998"
"45"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Gamay"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"78"|"7.0000000000000007E-2"|"0"|"2.3799999999999999"
"46"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Lemberger"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"80"|"7.0000000000000007E-2"|"0"|"2.46"
"47"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Merlot"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"2.5099999999999998"
"48"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Mouvedre"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"88"|"7.0000000000000007E-2"|"0"|"2.6400000000000001"
"49"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Petite Sirah"|"1"|"fl oz"|"29.5"|"1 fl oz"|"85"|"7.0000000000000007E-2"|"0"|"2.6800000000000002"
"50"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Pinot Noir"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"82"|"7.0000000000000007E-2"|"0"|"2.3100000000000001"
"51"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Sangiovese"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"86"|"7.0000000000000007E-2"|"0"|"2.6200000000000001"
"52"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Syrah"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"2.5800000000000001"
"53"|"Beverages"|"1400"|"Alcoholic Beverage, wine, table, red, Zinfandel"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"88"|"7.0000000000000007E-2"|"0"|"2.8599999999999999"
"54"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white"|"1"|"fl oz"|"29.399999999999999"|"1 fl oz"|"82"|"7.0000000000000007E-2"|"0"|"2.6000000000000001"
"55"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Chardonnay"|"1"|"fl oz"|"29.300000000000001"|"1 fl oz"|"84"|"7.0000000000000007E-2"|"0"|"2.1600000000000001"
"56"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Chenin Blanc"|"1"|"fl oz"|"29.5"|"1 fl oz"|"80"|"7.0000000000000007E-2"|"0"|"3.3100000000000001"
"57"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Fume Blanc"|"1"|"fl oz"|"29.300000000000001"|"1 fl oz"|"82"|"7.0000000000000007E-2"|"0"|"2.27"
"58"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Gewurztraminer"|"1"|"fl oz"|"29.5"|"1 fl oz"|"81"|"7.0000000000000007E-2"|"0"|"2.6000000000000001"
"59"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, late harvest"|"1"|"fl oz"|"30.800000000000001"|"1 fl oz"|"112"|"7.0000000000000007E-2"|"0"|"13.390000000000001"
"60"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer"|"1"|"fl oz"|"30.5"|"1 fl oz"|"108"|"7.0000000000000007E-2"|"0"|"11.390000000000001"
"61"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Muller Thurgau"|"1"|"fl oz"|"29.5"|"1 fl oz"|"76"|"7.0000000000000007E-2"|"0"|"3.48"
"62"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Muscat"|"1"|"fl oz"|"30"|"1 fl oz"|"82"|"7.0000000000000007E-2"|"0"|"5.2300000000000004"
"63"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Pinot Blanc"|"1"|"fl oz"|"29.300000000000001"|"1 fl oz"|"81"|"7.0000000000000007E-2"|"0"|"1.9399999999999999"
"64"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)"|"1"|"fl oz"|"29.300000000000001"|"1 fl oz"|"83"|"7.0000000000000007E-2"|"0"|"2.0600000000000001"
"65"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Riesling"|"1"|"fl oz"|"29.600000000000001"|"1 fl oz"|"80"|"7.0000000000000007E-2"|"0"|"3.7400000000000002"
"66"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Sauvignon Blanc"|"1"|"fl oz"|"29.300000000000001"|"1 fl oz"|"81"|"7.0000000000000007E-2"|"0"|"2.0499999999999998"
"67"|"Beverages"|"1400"|"Alcoholic beverage, wine, table, white, Semillon"|"1"|"fl oz"|"29.5"|"1 fl oz"|"82"|"7.0000000000000007E-2"|"0"|"3.1200000000000001"
"68"|"Beverages"|"1400"|"Alcoholic beverages , beer, light, higher alcohol"|"12"|"fl oz"|"356"|"12 fl oz"|"46"|"0.25"|"0"|"0.77000000000000002"
"69"|"Beverages"|"1400"|"Alcoholic beverages, malt beer, hard lemonade"|"11.199999999999999"|"fl oz"|"335"|"11.2 fl oz"|"68"|"0"|"0"|"10.07"
"70"|"Beverages"|"1400"|"Alcoholic beverages, Wine, rose"|"1"|"fl oz"|"30.300000000000001"|"1 fl oz"|"83"|"0.35999999999999999"|"0"|"3.7999999999999998"
"71"|"Vegetables and Vegetable Products"|"1100"|"Alfalfa seeds, sprouted, raw"|"1"|"cup"|"33"|"1 cup"|"23"|"3.9900000000000002"|"0.68999999999999995"|"2.1000000000000001"
"72"|"Cereal Grains and Pasta"|"2000"|"Amaranth grain, cooked"|"1"|"cup"|"246"|"1 cup"|"102"|"3.7999999999999998"|"1.5800000000000001"|"18.690000000000001"
"73"|"Cereal Grains and Pasta"|"2000"|"Amaranth grain, uncooked"|"1"|"cup"|"193"|"1 cup"|"371"|"13.56"|"7.0199999999999996"|"65.25"
"74"|"Vegetables and Vegetable Products"|"1100"|"Amaranth leaves, cooked, boiled, drained, with salt"|"1"|"cup"|"132"|"1 cup"|"21"|"2.1099999999999999"|"0.17999999999999999"|"4.1100000000000003"
"75"|"Vegetables and Vegetable Products"|"1100"|"Amaranth leaves, cooked, boiled, drained, without salt"|"1"|"cup"|"132"|"1 cup"|"21"|"2.1099999999999999"|"0.17999999999999999"|"4.1100000000000003"
"76"|"Vegetables and Vegetable Products"|"1100"|"Amaranth leaves, raw"|"1"|"cup"|"28"|"1 cup"|"23"|"2.46"|"0.33000000000000002"|"4.0199999999999996"
"77"|"Baked Products"|"1800"|"ANDREA'S, Gluten Free Soft Dinner Roll"|"1"|"roll"|"69"|"1 roll"|"257"|"5.6500000000000004"|"8.1999999999999993"|"40.240000000000002"
"78"|"Fats and Oils"|"0400"|"Animal fat, bacon grease"|"1"|"tsp"|"4.2999999999999998"|"1 tsp"|"897"|"0"|"99.5"|"0"
"79"|"Fruits and Fruit Juices"|"0900"|"Apple juice, canned or bottled, unsweetened, with added ascorbic acid"|"1"|"cup"|"248"|"1 cup"|"46"|"0.10000000000000001"|"0.13"|"11.300000000000001"
"80"|"Fruits and Fruit Juices"|"0900"|"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium"|"6"|"fl oz"|"177"|"6 fl oz"|"48"|"0.12"|"0.17000000000000001"|"11.49"
"81"|"Fruits and Fruit Juices"|"0900"|"Apple juice, canned or bottled, unsweetened, without added ascorbic acid"|"1"|"cup"|"248"|"1 cup"|"46"|"0.10000000000000001"|"0.13"|"11.300000000000001"
"82"|"Fruits and Fruit Juices"|"0900"|"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid"|"1"|"cup"|"239"|"1 cup"|"47"|"0.14000000000000001"|"0.10000000000000001"|"11.539999999999999"
"83"|"Fruits and Fruit Juices"|"0900"|"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid"|"1"|"cup"|"239"|"1 cup"|"47"|"0.14000000000000001"|"0.10000000000000001"|"11.539999999999999"
"84"|"Fruits and Fruit Juices"|"0900"|"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid"|"1"|"can (6 fl oz)"|"211"|"1 can (6 fl oz)"|"166"|"0.51000000000000001"|"0.37"|"41"
"85"|"Fruits and Fruit Juices"|"0900"|"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid"|"1"|"can (6 fl oz)"|"211"|"1 can (6 fl oz)"|"166"|"0.51000000000000001"|"0.37"|"41"
"86"|"Restaurant Foods"|"3600"|"APPLEBEE'S, 9 oz house sirloin steak"|"1"|"serving"|"157"|"1 serving"|"189"|"26.850000000000001"|"9.0800000000000001"|"0"
"87"|"Restaurant Foods"|"3600"|"APPLEBEE'S, chicken tenders platter"|"1"|"serving"|"209"|"1 serving"|"297"|"19.620000000000001"|"16.239999999999998"|"17.98"
"88"|"Restaurant Foods"|"3600"|"APPLEBEE'S, chicken tenders, from kids' menu"|"1"|"piece"|"35"|"1 piece"|"296"|"19.25"|"16.149999999999999"|"18.359999999999999"
"89"|"Restaurant Foods"|"3600"|"APPLEBEE'S, chili"|"1"|"cup"|"136"|"1 cup"|"157"|"12.56"|"9.7899999999999991"|"4.5700000000000003"
"90"|"Restaurant Foods"|"3600"|"APPLEBEE'S, coleslaw"|"1"|"serving"|"76"|"1 serving"|"120"|"0.79000000000000004"|"7.0899999999999999"|"13.17"
"91"|"Restaurant Foods"|"3600"|"APPLEBEE'S, crunchy onion rings"|"1"|"serving"|"350"|"1 serving"|"356"|"4.5800000000000001"|"19.609999999999999"|"40.170000000000002"
"92"|"Restaurant Foods"|"3600"|"APPLEBEE'S, Double Crunch Shrimp"|"1"|"serving"|"206"|"1 serving"|"323"|"12.31"|"18.899999999999999"|"25.960000000000001"
"93"|"Restaurant Foods"|"3600"|"APPLEBEE'S, fish, hand battered"|"1"|"serving"|"250"|"1 serving"|"202"|"13.23"|"9.1400000000000006"|"16.649999999999999"
"94"|"Restaurant Foods"|"3600"|"APPLEBEE'S, french fries"|"1"|"serving"|"164"|"1 serving"|"290"|"3.3100000000000001"|"13.17"|"39.5"
"95"|"Restaurant Foods"|"3600"|"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu"|"1"|"cup"|"124"|"1 cup"|"143"|"5.0099999999999998"|"4.3399999999999999"|"21.079999999999998"
"96"|"Restaurant Foods"|"3600"|"APPLEBEE'S, mozzarella sticks"|"1"|"piece"|"32"|"1 piece"|"316"|"14.869999999999999"|"18.370000000000001"|"22.870000000000001"
"97"|"Fruits and Fruit Juices"|"0900"|"Apples, canned, sweetened, sliced, drained, heated"|"1"|"cup slices"|"204"|"1 cup slices"|"67"|"0.17999999999999999"|"0.42999999999999999"|"16.84"
"98"|"Fruits and Fruit Juices"|"0900"|"Apples, canned, sweetened, sliced, drained, unheated"|"1"|"cup slices"|"204"|"1 cup slices"|"67"|"0.17999999999999999"|"0.48999999999999999"|"16.699999999999999"
"99"|"Fruits and Fruit Juices"|"0900"|"Apples, dehydrated (low moisture), sulfured, stewed"|"1"|"cup"|"193"|"1 cup"|"74"|"0.28000000000000003"|"0.12"|"19.91"
"100"|"Fruits and Fruit Juices"|"0900"|"Apples, dehydrated (low moisture), sulfured, uncooked"|"1"|"cup"|"60"|"1 cup"|"346"|"1.3200000000000001"|"0.57999999999999996"|"93.530000000000001"
"101"|"Fruits and Fruit Juices"|"0900"|"Apples, dried, sulfured, stewed, with added sugar"|"1"|"cup"|"280"|"1 cup"|"83"|"0.20000000000000001"|"7.0000000000000007E-2"|"20.73"
"102"|"Fruits and Fruit Juices"|"0900"|"Apples, dried, sulfured, stewed, without added sugar"|"1"|"cup"|"255"|"1 cup"|"57"|"0.22"|"7.0000000000000007E-2"|"15.32"
"103"|"Fruits and Fruit Juices"|"0900"|"Apples, dried, sulfured, uncooked"|"1"|"cup"|"86"|"1 cup"|"243"|"0.93000000000000005"|"0.32000000000000001"|"65.890000000000001"
"104"|"Fruits and Fruit Juices"|"0900"|"Apples, frozen, unsweetened, heated"|"1"|"cup slices"|"206"|"1 cup slices"|"47"|"0.28999999999999998"|"0.33000000000000002"|"12"
"105"|"Fruits and Fruit Juices"|"0900"|"Apples, frozen, unsweetened, unheated"|"1"|"cup slices"|"173"|"1 cup slices"|"48"|"0.28000000000000003"|"0.32000000000000001"|"12.31"
"106"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, fuji, with skin"|"1"|"cup, sliced"|"109"|"1 cup, sliced"|"63"|"0.20000000000000001"|"0.17999999999999999"|"15.220000000000001"
"107"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, gala, with skin"|"1"|"cup, sliced"|"109"|"1 cup, sliced"|"57"|"0.25"|"0.12"|"13.68"
"108"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, golden delicious, with skin"|"1"|"cup, sliced"|"109"|"1 cup, sliced"|"57"|"0.28000000000000003"|"0.14999999999999999"|"13.6"
"109"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, granny smith, with skin"|"1"|"cup, sliced"|"109"|"1 cup, sliced"|"58"|"0.44"|"0.19"|"13.609999999999999"
"110"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, red delicious, with skin"|"1"|"cup, sliced"|"109"|"1 cup, sliced"|"59"|"0.27000000000000002"|"0.20000000000000001"|"14.06"
"111"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, with skin"|"1"|"cup, quartered or chopped"|"125"|"1 cup, quartered or chopped"|"52"|"0.26000000000000001"|"0.17000000000000001"|"13.81"
"112"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, without skin"|"1"|"cup slices"|"110"|"1 cup slices"|"48"|"0.27000000000000002"|"0.13"|"12.76"
"113"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, without skin, cooked, boiled"|"1"|"cup slices"|"171"|"1 cup slices"|"53"|"0.26000000000000001"|"0.35999999999999999"|"13.640000000000001"
"114"|"Fruits and Fruit Juices"|"0900"|"Apples, raw, without skin, cooked, microwave"|"1"|"cup slices"|"170"|"1 cup slices"|"56"|"0.28000000000000003"|"0.41999999999999998"|"14.41"
"115"|"Fruits and Fruit Juices"|"0900"|"Applesauce, canned, sweetened, with salt"|"1"|"cup"|"255"|"1 cup"|"76"|"0.17999999999999999"|"0.17999999999999999"|"19.91"
"116"|"Fruits and Fruit Juices"|"0900"|"Applesauce, canned, sweetened, without salt (includes USDA commodity)"|"1"|"cup"|"246"|"1 cup"|"68"|"0.16"|"0.17000000000000001"|"17.489999999999998"
"117"|"Fruits and Fruit Juices"|"0900"|"Applesauce, canned, unsweetened, with added ascorbic acid"|"1"|"cup"|"244"|"1 cup"|"42"|"0.17000000000000001"|"0.10000000000000001"|"11.27"
"118"|"Fruits and Fruit Juices"|"0900"|"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)"|"1"|"cup"|"244"|"1 cup"|"42"|"0.17000000000000001"|"0.10000000000000001"|"11.27"
"119"|"Fruits and Fruit Juices"|"0900"|"Apricot nectar, canned, with added ascorbic acid"|"1"|"cup"|"251"|"1 cup"|"56"|"0.37"|"8.9999999999999997E-2"|"14.390000000000001"
"120"|"Fruits and Fruit Juices"|"0900"|"Apricot nectar, canned, without added ascorbic acid"|"1"|"cup"|"251"|"1 cup"|"56"|"0.37"|"8.9999999999999997E-2"|"14.390000000000001"
"121"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids"|"1"|"cup, whole, without pits"|"246"|"1 cup, whole, without pits"|"96"|"0.55000000000000004"|"4.0000000000000001E-2"|"24.850000000000001"
"122"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, extra light syrup pack, with skin, solids and liquids"|"1"|"cup, halves"|"247"|"1 cup, halves"|"49"|"0.59999999999999998"|"0.10000000000000001"|"12.5"
"123"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, heavy syrup pack, with skin, solids and liquids"|"1"|"cup, halves"|"258"|"1 cup, halves"|"83"|"0.53000000000000003"|"8.0000000000000002E-2"|"21.469999999999999"
"124"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, heavy syrup pack, without skin, solids and liquids"|"1"|"cup, whole, without pits"|"258"|"1 cup, whole, without pits"|"83"|"0.51000000000000001"|"8.9999999999999997E-2"|"21.449999999999999"
"125"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, heavy syrup, drained"|"1"|"cup, halves"|"219"|"1 cup, halves"|"83"|"0.64000000000000001"|"0.11"|"21.309999999999999"
"126"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, juice pack, with skin, solids and liquids"|"1"|"cup, halves"|"244"|"1 cup, halves"|"48"|"0.63"|"4.0000000000000001E-2"|"12.34"
"127"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, light syrup pack, with skin, solids and liquids"|"1"|"cup, halves"|"253"|"1 cup, halves"|"63"|"0.53000000000000003"|"5.0000000000000003E-2"|"16.489999999999998"
"128"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, water pack, with skin, solids and liquids"|"1"|"cup, halves"|"243"|"1 cup, halves"|"27"|"0.70999999999999996"|"0.16"|"6.3899999999999997"
"129"|"Fruits and Fruit Juices"|"0900"|"Apricots, canned, water pack, without skin, solids and liquids"|"1"|"cup, whole, without pits"|"227"|"1 cup, whole, without pits"|"22"|"0.68999999999999995"|"2.9999999999999999E-2"|"5.4800000000000004"
"130"|"Fruits and Fruit Juices"|"0900"|"Apricots, dehydrated (low-moisture), sulfured, stewed"|"1"|"cup"|"249"|"1 cup"|"126"|"1.9299999999999999"|"0.23999999999999999"|"32.619999999999997"
"131"|"Fruits and Fruit Juices"|"0900"|"Apricots, dehydrated (low-moisture), sulfured, uncooked"|"1"|"cup"|"119"|"1 cup"|"320"|"4.9000000000000004"|"0.62"|"82.890000000000001"
"132"|"Fruits and Fruit Juices"|"0900"|"Apricots, dried, sulfured, stewed, with added sugar"|"1"|"cup, halves"|"270"|"1 cup, halves"|"113"|"1.1699999999999999"|"0.14999999999999999"|"29.260000000000002"
"133"|"Fruits and Fruit Juices"|"0900"|"Apricots, dried, sulfured, stewed, without added sugar"|"1"|"cup, halves"|"250"|"1 cup, halves"|"85"|"1.2"|"0.17999999999999999"|"22.149999999999999"
"134"|"Fruits and Fruit Juices"|"0900"|"Apricots, dried, sulfured, uncooked"|"1"|"cup, halves"|"130"|"1 cup, halves"|"241"|"3.3900000000000001"|"0.51000000000000001"|"62.640000000000001"
"135"|"Fruits and Fruit Juices"|"0900"|"Apricots, frozen, sweetened"|"1"|"cup"|"242"|"1 cup"|"98"|"0.69999999999999996"|"0.10000000000000001"|"25.100000000000001"
"136"|"Fruits and Fruit Juices"|"0900"|"Apricots, raw"|"1"|"cup, halves"|"155"|"1 cup, halves"|"48"|"1.3999999999999999"|"0.39000000000000001"|"11.119999999999999"
